,Unnamed: 0,Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"Table 4: Directly age-standardised1 and age-specific rates per 100,000 population of death from cancer (third digit): ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"site‚ sex and age‚ England, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,"Directly 
age-standardised 
rate",,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,ICD-10 code,Site description,,,,All ages,,Under 1,,1 to 4,,5 to 9,,10 to 14,,15 to 19,,20 to 24,,25 to 29,,30 to 34,,35 to 39,,40 to 44,,45 to 49,,50 to 54,,55 to 59,,60 to 64,,65 to 69,,70 to 74,,75 to 79,,80 to 84,,85 to 89,,90 and over,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,C00-C97 excl.C442,All cancers excluding non-melanoma skin cancer (nmsc),Males,323.7,,264.1,,,u,2.2,,1.9,,2.3,,3.4,,4.7,,5.7,,10.1,,15.6,,29.7,,58.4,,113.5,,211.6,,385.8,,626.3,,938.4,,1438.3,,2025.8,,2849.3,,3750.1,
9,,C00-C97 excl.C442,All cancers excluding non-melanoma skin cancer (nmsc),Females,226.7,,227.7,,0.9,u,1.7,,1.1,u,1.9,,2.8,,3,,6.9,,14.3,,23.8,,40.1,,70.7,,122.3,,203.1,,305.1,,467.7,,679.4,,984.4,,1280.3,,1663.8,,1923,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Males,6.9,,5.9,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.6,u,1,u,3.3,,7.1,,11.4,,15.2,,19,,20.5,,23.3,,23.3,,27.5,,34.6,
12,,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",Females,2.8,,2.8,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.2,u,0.6,u,1.2,,2,,3.9,,5.1,,7,,7.5,,10.7,,11.7,,18.8,,20,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,C00,Malignant neoplasm of lip,Males,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.7,u,,u,,u
15,,C00,Malignant neoplasm of lip,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,C01,Malignant neoplasm of base of tongue,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u,0.3,u,0.7,u,0.8,u,0.6,u,0.5,u,,u,,u
18,,C01,Malignant neoplasm of base of tongue,Females,0.1,u,0.1,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,,u,,u,,u,,u,0.4,u,,u,,u
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,C02,Malignant neoplasm of other and unspecified parts of tongue,Males,1.6,,1.4,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.2,u,0.3,u,0.9,u,1.5,,2.8,,4.3,,4.1,,4.5,,5.9,,3.8,,5.9,u,7.5,u
21,,C02,Malignant neoplasm of other and unspecified parts of tongue,Females,0.8,,0.8,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.3,u,0.5,u,1.1,u,1.4,,2,,1.8,,2.6,,2.5,u,6.6,,5.9,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,C03,Malignant neoplasm of gum,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.6,u,0.3,u,0.6,u,0.5,u,1.7,u,1.2,u,2,u
24,,C03,Malignant neoplasm of gum,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u,0.3,u,1.2,u,2.1,u,1.7,u,2.1,u
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,C04,Malignant neoplasm of floor of mouth,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.4,u,0.3,u,0.3,u,,u,0.4,u,,u,,u,,u
27,,C04,Malignant neoplasm of floor of mouth,Females,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,,u,,u,,u,,u
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,C05,Malignant neoplasm of palate,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,,u,0.3,u,0.4,u,0.4,u,,u,1.9,u,,u
30,,C05,Malignant neoplasm of palate,Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u,0.2,u,0.3,u,0.4,u,0.4,u,,u,,u
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,C06,Malignant neoplasm of other and unspecified parts of mouth,Males,0.7,,0.6,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.6,u,1,u,1.2,u,1.8,,2.5,,1.7,u,2.6,u,4.3,u,4.1,u
33,,C06,Malignant neoplasm of other and unspecified parts of mouth,Females,0.4,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.2,u,0.7,u,0.8,u,0.7,u,1.8,u,1.4,u,4.1,,4.4,u
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,C07,Malignant neoplasm of parotid gland,Males,0.4,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.2,u,0.4,u,0.7,u,0.8,u,2.3,u,3.3,u,4,u,5.4,u
36,,C07,Malignant neoplasm of parotid gland,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,,u,0.4,u,,u,0.8,u,0.8,u,1.6,u,2.5,u,2.6,u
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,C08,Malignant neoplasm of other and unspecified major salivary glands,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,1.1,u,,u,,u,,u,,u
39,,C08,Malignant neoplasm of other and unspecified major salivary glands,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,C09,Malignant neoplasm of tonsil,Males,1,,0.9,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.7,u,1.2,,2.2,,2.4,,2.7,,3,,4.3,,3.1,u,1.2,u,,u
42,,C09,Malignant neoplasm of tonsil,Females,0.3,,0.3,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,0.6,u,0.5,u,1,u,1.2,u,0.5,u,0.8,u,,u,0.9,u
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
