,Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,,,,,,,,,,,,,,,,,,,,,,,
1,Table 4: Directly age-standardised¹ registration rates per 100‚000 population of newly diagnosed cases of cancer (3rd digit):,,,,,,,,,,,,,,,,,,,,,,
2,"site‚ sex and region of residence‚ England, 2012",,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,Registered by February 2014,,,,,
4,ICD-10 Code,Site description,,England,, Region,,,,,,,,,,,,,,,,,
5,,,,,,North East,,North West,,Yorkshire,,East Midlands,,West Midlands,,East,,London,,South East,,South West,
6,,,,,,,,,,and The,,,,,,,,,,,,,
7,,,,,,,,,,Humber,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
9,"C00-C97,",All registrations           ,M,979.6,,982.7,,961.1,,922.4,,904.3,,1018.7,,934.8,,858.8,,1025.9,,1162.7,
10,D00-D48 ,                            ,F,830,,929.6,,787.1,,823.4,,809.3,,878.3,,801.7,,688.6,,871.2,,988.1,
11,,,,,,,,,,,,,,,,,,,,,,,
12,C00-C97 ,All cancers                 ,M,884,,891.3,,880.1,,831.8,,817.5,,910.4,,831.1,,792.4,,925.5,,1036.3,
13,        ,                            ,F,661.7,,696.2,,664,,626.1,,624.7,,671.9,,610.7,,588.7,,695.9,,775.8,
14,,,,,,,,,,,,,,,,,,,,,,,
15,C00-C97 ,All cancers excluding nmsc² ,M,667.9,,707.5,,714.5,,690.2,,644.6,,668.9,,669.1,,624.9,,636.9,,681.6,
16,excl.C44,                            ,F,529.6,,583.2,,564.8,,548.2,,530.8,,519.1,,526.8,,481,,511.8,,541.5,
17,,,,,,,,,,,,,,,,,,,,,,,
18,C00-C14 ,"Malignant neoplasm of lip,  ",M,18.9,,23.1,,22.7,,18.6,,17.9,,17.2,,17.6,,19.9,,17.6,,17.6,
19,        ,oral cavity and pharynx     ,F,8.8,,10,,9.6,,9.3,,8.7,,9.6,,7.4,,9.1,,7.9,,8.7,
20,,,,,,,,,,,,,,,,,,,,,,,
21,C00     ,Malignant neoplasm of lip   ,M,0.9,,1.2,u,0.8,,0.9,,0.8,u,0.9,u,1.5,,0.5,u,1,,0.6,u
22,        ,                            ,F,0.3,,,u,0.4,u,0.5,u,,u,0.4,u,0.4,u,,u,0.4,u,,u
23,,,,,,,,,,,,,,,,,,,,,,,
24,C01     ,Malignant neoplasm of       ,M,2,,2.9,,2.7,,2,,2.3,,1.7,,2.3,,0.9,,1.6,,2.1,
25,        ,base of tongue              ,F,0.6,,,u,1,,0.7,u,0.8,u,0.6,u,0.4,u,0.4,u,0.4,u,0.8,
26,,,,,,,,,,,,,,,,,,,,,,,
27,C02     ,Malignant neoplasm of       ,M,3.3,,3.5,,3.9,,3.4,,2.4,,3.7,,2.3,,4.6,,2.8,,3,
28,        ,other and unspecified       ,F,1.9,,2.2,,2,,2,,1.9,,3,,1.7,,1.7,,1.6,,1.8,
29,        ,parts of tongue             , ,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,
31,C03     ,Malignant neoplasm of gum   ,M,0.8,,,u,0.4,u,,u,0.9,u,0.8,u,1,,1,,1,,0.8,
32,        ,                            ,F,0.6,,0.7,u,0.6,,0.5,u,0.7,u,0.5,u,0.7,,0.8,,0.5,,0.5,u
33,,,,,,,,,,,,,,,,,,,,,,,
34,C04     ,Malignant neoplasm of       ,M,1.2,,2,,1.9,,1.5,,1.2,,0.8,,0.9,,1.1,,0.8,,0.7,u
35,        ,floor of mouth              ,F,0.5,,,u,0.8,,0.7,u,0.5,u,0.5,u,0.4,u,0.6,u,0.4,u,0.5,u
36,,,,,,,,,,,,,,,,,,,,,,,
37,C05     ,Malignant neoplasm of       ,M,1,,1.9,,1.1,,1,,0.6,u,0.7,u,0.7,u,1.4,,0.8,,0.9,
38,        ,palate                      ,F,0.6,,,u,0.8,,0.7,u,0.7,u,0.6,u,0.6,u,0.4,u,0.5,,0.6,u
39,,,,,,,,,,,,,,,,,,,,,,,
40,C06     ,Malignant neoplasm of       ,M,1.4,,1.3,u,1.2,,1,,1.7,,1,,1.3,,2.1,,1.5,,1.6,
41,        ,other and unspecified       ,F,1,,1,u,0.8,,0.8,,0.9,,1,,0.9,,1,,1.3,,0.9,
42,        ,parts of mouth              , ,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,C07     ,Malignant neoplasm of       ,M,1,,,u,0.9,,1.2,,0.8,u,0.9,,1.2,,1,,1.3,,1.1,
