,Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,,,,,,,,,,,,,,,,,,,,,,,
1,"Table 4: Directly age-standardised¹ registration rates per 100‚000 population of newly diagnosed cases of cancer (third digit): site‚ sex and region of residence‚ England, 2013",,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,Registered by May 2015,,,
3,ICD-10 code,Site description,,England,,Region,,,,,,,,,,,,,,,,,
4,,,,,,"North 
East",,"North 
West",,"Yorkshire 
and The 
Humber",,"East 
Midlands",,"West 
Midlands",,East,,London,,"South 
East",,"South 
West",
5,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,
8,C00-C97 excl.C442,All cancers excluding nmsc,M,683.1,,711.3,,719.7,,711.6,,669.5,,688.5,,665.8,,653.7,,671.8,,673.9,
9,,,F,542.2,,581.7,,578.5,,550.2,,531.6,,540.5,,526.7,,511,,530.6,,553.9,
10,,,,,,,,,,,,,,,,,,,,,,,
11,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx",M,19.6,,22.1,,24.6,,21.6,,16.9,,19,,18.5,,19.1,,17.1,,18.9,
12,,,F,8.9,,10.2,,9.7,,9.8,,9.2,,8.1,,8.4,,9.3,,8.4,,8.2,
13,,,,,,,,,,,,,,,,,,,,,,,
14,C00,Malignant neoplasm of lip,M,0.7,,,u,0.9,,1.3,,0.5,u,0.7,u,1,,,u,0.6,,0.5,u
15,,,F,0.2,,,u,,u,0.8,,,u,,u,0.4,u,,u,,u,,u
16,,,,,,,,,,,,,,,,,,,,,,,
17,C01,Malignant neoplasm of base of tongue,M,2.5,,3.1,,2.8,,2.3,,2.4,,2.5,,2.6,,2.3,,2.2,,2.9,
