,Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,"Table 4: Directly age-standardised1 rates per 100,000 population of newly diagnosed cases of cancer (3rd digit):
site, sex and region of residence, England, 2011",,,,,,,,,,,,
1,,,,,,,,,,,Registered by February 2013,,
2,ICD-10 code,Site description,,,Region,,,,,,,,
3,,,,,,,,,,,,,
4,,,,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,"C00-C97,",All registrations           ,M,627.1,667.6,589.9,645.5,598.5,635.8,564.6,553,671.8,725.1
8,"D00-D482,3 ",                            ,F,616.1,737.1,573.9,653.2,634.6,648.2,578.7,489.3,660.9,707.4
9,,,,,,,,,,,,,
10,C00-C97 ,All cancers ,M,562.1,604.1,543.7,577.2,525.3,570.5,497.1,502.5,601.6,641.9
11,        ,                            ,F,463.7,502.6,463.9,471.6,450.5,467.8,407.1,401.6,494,531.1
12,,,,,,,,,,,,,
13,C00-C97 ,All cancers excluding nmsc4 ,M,423,450.7,440.5,444.4,419.8,423.7,404.5,411.6,408.7,426
14,excl.C44,                            ,F,372.2,395.4,395.3,384,385.5,370.1,357.4,342.1,360.9,385.8
15,,,,,,,,,,,,,
16,C00-C14 ,"Malignant neoplasm of lip,  ",M,13.7,15.4,15.9,14.8,14,13.7,11.3,13.1,12.6,14.2
17,        ,oral cavity and pharynx     ,F,6.2,6.1,7.4,6.1,5.9,6.6,5.2,6.7,5.6,6.3
18,,,,,,,,,,,,,
19,C00     ,Malignant neoplasm of lip   ,M,0.5,0.6,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.5
20,        ,                            ,F,0.2,:,:,:,:,0.2,0.3,:,0.3,0.3
21,,,,,,,,,,,,,
22,C01     ,Malignant neoplasm of       ,M,1.6,1.7,2,1.7,1.5,1.6,1.9,0.8,1,2.1
23,        ,base of tongue              ,F,0.4,:,0.4,0.3,0.5,0.6,0.4,0.3,0.4,0.5
24,,,,,,,,,,,,,
25,C02     ,Malignant neoplasm of       ,M,2.2,2.2,2.2,2.9,2.5,1.6,1.7,2.2,2.4,2.5
26,        ,other and unspecified       ,F,1.3,1.5,1.5,1.4,1.4,1.2,1.1,1.7,1.2,1.2
27,        ,parts of tongue             , ,,,,,,,,,,
28,,,,,,,,,,,,,
29,C03     ,Malignant neoplasm of gum   ,M,0.5,:,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.6
30,        ,                            ,F,0.3,:,0.5,:,0.3,0.4,0.3,0.7,0.2,0.3
31,,,,,,,,,,,,,
32,C04     ,Malignant neoplasm of       ,M,1,1.7,1.2,1.2,1.1,1,0.7,0.8,0.8,0.7
33,        ,floor of mouth              ,F,0.4,:,0.6,0.5,:,0.6,:,0.3,0.2,0.4
34,,,,,,,,,,,,,
35,C05     ,Malignant neoplasm of       ,M,0.7,0.7,0.8,0.8,0.6,1,0.5,0.8,0.6,0.5
36,        ,palate                      ,F,0.5,:,0.7,0.5,0.5,0.4,0.4,0.5,0.3,0.5
37,,,,,,,,,,,,,
38,C06     ,Malignant neoplasm of       ,M,0.9,1.4,0.9,0.9,0.7,0.9,0.6,1.3,0.9,0.9
39,        ,other and unspecified       ,F,0.6,:,1,0.7,0.4,0.7,0.5,0.7,0.5,0.5
40,        ,parts of mouth              , ,,,,,,,,,,
41,,,,,,,,,,,,,
42,C07     ,Malignant neoplasm of       ,M,0.8,:,0.6,0.7,0.8,0.7,0.8,0.9,0.9,1.1
43,        ,parotid gland               ,F,0.6,:,0.6,0.4,0.6,0.4,0.4,0.7,0.8,0.5
44,,,,,,,,,,,,,
45,C08     ,Malignant neoplasm of       ,M,0.2,       :,0.3,:,:,0.3,:,0.2,0.3,:
46,        ,other and unspecified       ,F,0.2,:,:,:,:,0.3,:,0.3,0.2,0.3
47,        ,major salivary glands       , ,,,,,,,,,,
48,,,,,,,,,,,,,
49,C09     ,Malignant neoplasm of       ,M,2.5,2.6,3.1,2.5,3,2.2,2.3,2.4,2.3,2.6
50,        ,tonsil                      ,F,0.8,1,0.9,0.6,0.7,0.9,0.8,0.6,1,0.9
51,,,,,,,,,,,,,
52,C10     ,Malignant neoplasm of       ,M,0.6,1.2,1,0.4,0.7,0.5,0.4,0.6,0.6,0.4
53,        ,oropharynx                  ,F,0.2,:,:,:,:,:,:,:,:,:
54,,,,,,,,,,,,,
55,C11     ,Malignant neoplasm of       ,M,0.5,:,0.7,:,:,0.8,0.3,0.4,0.3,0.6
56,        ,nasopharynx                 ,F,0.2,:,:,0.4,:,:,:,:,:,0.3
57,,,,,,,,,,,,,
58,C12     ,Malignant neoplasm of       ,M,0.7,0.9,1.1,1.2,0.5,0.9,0.3,0.8,0.7,0.3
59,        ,pyriform sinus              ,F,0.2,:,0.3,:,:,:,:,:,:,:
60,,,,,,,,,,,,,
61,C13     ,Malignant neoplasm of       ,M,0.5,0.8,0.7,0.3,0.4,0.8,0.4,:,0.2,0.5
62,        ,hypopharynx                 ,F,0.2,:,0.3,:,:,:,0.3,:,:,0.2
63,,,,,,,,,,,,,
64,C14     ,Malignant neoplasm of       ,M,0.5,:,0.5,0.5,0.6,:,0.3,0.6,0.5,0.8
65,        ,other and ill-defined       ,F,0.1,:,:,:,:,:,:,:,:,:
66,        ,"sites in the lip, oral      ", ,,,,,,,,,,
67,        ,cavity and pharynx          , ,,,,,,,,,,
68,,,,,,,,,,,,,
69,C15     ,Malignant neoplasm of       ,M,14.1,14.4,17.9,14.8,14.2,14.9,11.7,12.6,14.2,12.4
70,        ,oesophagus                  ,F,5.2,4.6,6,5.3,5.4,6.4,4.9,4.2,4.7,4.8
71,,,,,,,,,,,,,
72,C16     ,Malignant neoplasm of       ,M,10.8,15.2,11.1,12.6,12.7,11.9,9.8,9.9,8.7,9.4
73,        ,stomach                     ,F,4.4,5.6,5.3,5.7,4.9,4.8,3.8,4.3,3.2,3.7
74,,,,,,,,,,,,,
75,C17     ,Malignant neoplasm of       ,M,1.8,1.5,1.7,1.8,1.6,1.7,1.7,1.7,2.1,2
76,        ,small intestine             ,F,1.3,1.1,1.2,1.3,1.2,1.3,1.3,1.1,1.5,1.3
77,,,,,,,,,,,,,
78,C18-C20 ,Malignant neoplasm of       ,M,56.7,69.3,60.1,60.1,54.3,56.7,56,49.7,53.8,57.2
79,        ,colon and rectum            ,F,36.8,35.1,35.3,35,38.3,35.9,38.1,32.8,38.2,41.6
80,,,,,,,,,,,,,
81,C18     ,Malignant neoplasm of       ,M,34.2,41.1,37,35.3,32.1,34,33.2,29.8,33.4,34.7
82,        ,colon                       ,F,25.7,24.3,25.2,24.1,26.7,25.2,26,22.7,26.9,29
83,,,,,,,,,,,,,
84,C19     ,Malignant neoplasm of       ,M,4.1,5.1,4.5,4.3,4.3,3.3,4.6,4.6,3.7,3.2
85,        ,rectosigmoid junction       ,F,2.2,2.3,2.1,1.9,2.5,1.6,2.5,2.7,2.3,2.1
86,,,,,,,,,,,,,
87,C20     ,Malignant neoplasm of       ,M,18.4,23.1,18.6,20.5,17.9,19.4,18.2,15.2,16.7,19.2
88,        ,rectum                      ,F,8.9,8.4,8,9,9.1,9.1,9.6,7.3,9,10.5
89,,,,,,,,,,,,,
90,C21     ,Malignant neoplasm of       ,M,1.1,1.2,1.2,1.2,1.2,1,1.2,1.3,1.1,1
91,        ,anus and anal canal         ,F,1.9,1.9,1.7,2.2,2.1,1.7,1.9,1.9,2,1.7
92,,,,,,,,,,,,,
93,C22     ,Malignant neoplasm of liver ,M,6.7,7,8,7.6,6,6.4,5.7,8.5,5.2,7.1
94,        ,and intrahepatic bile ducts ,F,3.1,3.2,3.7,4.2,3.2,2.9,2.6,2.9,2.8,2.8
95,,,,,,,,,,,,,
96,C23     ,Malignant neoplasm of       ,M,0.6,:,0.4,0.8,0.4,0.6,0.5,0.6,0.5,0.8
97,        ,gallbladder                 ,F,1.1,1.6,1.1,1.4,1.2,1,1.1,1,0.8,1
98,,,,,,,,,,,,,
99,C24     ,Malignant neoplasm of       ,M,1.4,1.6,0.9,1.9,1.3,1.6,1.4,1.6,1.2,1.1
100,        ,other and unspecified       ,F,0.9,0.7,0.8,0.8,1,0.9,1,1.1,1,0.9
101,        ,parts of biliary tract      , ,,,,,,,,,,
102,,,,,,,,,,,,,
103,C25     ,Malignant neoplasm of       ,M,10.7,11.1,10.2,11.9,10.3,10.7,10.5,10.3,10.2,11.5
104,        ,pancreas                    ,F,8.7,8.8,8.1,9.1,9.2,8.7,9.4,8.2,8.2,8.8
105,,,,,,,,,,,,,
106,C26     ,Malignant neoplasm of       ,M,0.7,:,1,0.4,1,0.5,:,0.7,0.6,1
107,        ,other and ill-defined       ,F,0.6,:,0.7,0.4,0.5,0.6,0.4,0.5,0.7,0.9
108,        ,digestive organs            , ,,,,,,,,,,
109,,,,,,,,,,,,,
110,C30     ,Malignant neoplasm of       ,M,0.4,:,0.3,0.4,0.4,0.3,0.5,0.5,0.4,0.3
111,        ,nasal cavity and middle ear ,F,0.3,:,0.3,0.4,:,:,0.4,0.2,0.4,0.3
112,,,,,,,,,,,,,
113,C31     ,Malignant neoplasm of       ,M,0.3,:,0.4,0.4,:,:,0.3,:,:,0.4
114,        ,accessory sinuses           ,F,0.1,:,:,:,:,:,:,:,:,:
115,,,,,,,,,,,,,
116,C32     ,Malignant neoplasm of       ,M,4.8,6,6.1,4.8,4.7,4.1,3.8,6,3.9,4.3
117,        ,larynx                      ,F,1,1.5,1.4,1.4,1,0.9,0.7,1,0.6,0.6
118,,,,,,,,,,,,,
119,C33-C34 ,Malignant neoplasm of       ,M,56.1,73.9,68.9,66.6,55.6,56,47.8,54.8,46.9,48
120,        ,"trachea, bronchus and lung  ",F,39,60.2,51,50,36.6,34.3,33,35.2,31.6,32.5
121,,,,,,,,,,,,,
122,C33     ,Malignant neoplasm of       ,M,0.1,       :,:,:,:,:,:,:,:,:
123,        ,trachea                     ,F,0.1,:,:,:,:,:,:,:,:,:
124,,,,,,,,,,,,,
125,C34     ,Malignant neoplasm of       ,M,56.1,73.9,68.8,66.5,55.5,56,47.7,54.8,46.8,48
126,        ,bronchus and lung           ,F,38.9,60.1,50.9,49.9,36.6,34.2,32.9,35.1,31.6,32.4
127,,,,,,,,,,,,,
128,C37     ,Malignant neoplasm of       ,M,0.2,:,:,0.4,0.4,:,0.4,:,0.2,0.4
129,        ,thymus                      ,F,0.2,:,:,:,:,:,:,:,:,:
130,,,,,,,,,,,,,
131,C38     ,Malignant neoplasm of       ,M,0.3,:,:,0.3,0.3,:,:,:,0.4,0.6
132,        ,"heart, mediastinum and      ",F,0.2,:,:,:,:,:,:,:,0.2,0.3
133,        ,pleura                      , ,,,,,,,,,,
134,,,,,,,,,,,,,
135,C39     ,Malignant neoplasm of other ,M,0,       :,:,:,       :,       :,:,:,:,:
136,        ,and ill-defined sites in    ,F,:,:,:,:,       :,       :,:,       :,       :,:
137,        ,the respiratory system and  , ,,,,,,,,,,
138,        ,intrathoracic organs        , ,,,,,,,,,,
139,,,,,,,,,,,,,
140,C40     ,Malignant neoplasm of       ,M,0.5,:,0.4,0.5,0.6,0.5,:,0.4,0.5,0.7
141,        ,bone and articular          ,F,0.3,:,0.3,:,:,0.4,:,0.4,0.3,0.4
142,        ,cartilage of limbs          , ,,,,,,,,,,
